カテゴリ,iam,メモ、備考,優先度,商社,メーカー,メーカー型番,商社品名,注文コード,数量,単価,小計
電気部品,,LANハブ,,1,amazon,,BUFFALO Giga対応 プラスチック筐体 AC電源 5ポート LSW6-GT-5EPL/NBK ブラック スイッチングハブ ローコストモデル 簡易パッケージ 壁掛け設置対応 日本メーカー,https://www.amazon.co.jp/%E3%83%97%E3%83%A9%E3%82%B9%E3%83%81%E3%83%83%E3%82%AF%E7%AD%90%E4%BD%93-LSW6-GT-5EPL-NBK-%E3%82%B9%E3%82%A4%E3%83%83%E3%83%81%E3%83%B3%E3%82%B0%E3%83%8F%E3%83%96-%E3%83%90%E3%83%83%E3%83%95%E3%82%A1%E3%83%AD%E3%83%BC/dp/B07VND79X9?ref_=Oct_s9_apbd_omwf_hd_bw_b2LdXRD&pf_rd_r=MWDW19DPQFRZ1TCZZKB7&pf_rd_p=48dc0d12-cee7-504d-b521-e8f52741d2d9&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=2151992051,1,1280,1280
電気部品,,usbハブ,,1,amazon,,"Anker USB3.0 ウルトラスリム 4ポートハブ, USB ハブ バスパワー 軽量 コンパクト MacBook / iMac / Surface Pro 等 ノートPC 他対応 USBハブ テレワーク リモート 在宅勤務",https://www.amazon.co.jp/Anker-USB3-0-%E3%82%A6%E3%83%AB%E3%83%88%E3%83%A9%E3%82%B9%E3%83%AA%E3%83%A0-4%E3%83%9D%E3%83%BC%E3%83%88%E3%83%8F%E3%83%96-%E3%80%90USB3-0%E9%AB%98%E9%80%9F%E3%83%8F%E3%83%96%E3%83%BB%E3%83%90%E3%82%B9%E3%83%91%E3%83%AF%E3%83%BC%E3%83%BB%E8%BB%BD%E9%87%8F%E3%83%BB%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%E3%80%91/dp/B00Y27DEVO/ref=sr_1_4?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=1IYM6M4KO6TZG&dchild=1&keywords=usb+%E3%83%8F%E3%83%96&qid=1608275869&s=computers&sprefix=usb%2Ccomputers%2C271&sr=1-4,1,1399,1399
電気部品,,usb延長,,1,amazon,右L型,変換名人 USB3.0 延長ケーブル 20cm [ Aオス端子・、右L型 ] USB3A-CA20RL,https://www.amazon.co.jp/%E5%A4%89%E6%8F%9B%E5%90%8D%E4%BA%BA-USB3-0-%E5%BB%B6%E9%95%B7%E3%82%B1%E3%83%BC%E3%83%96%E3%83%AB-A%E3%82%AA%E3%82%B9%E7%AB%AF%E5%AD%90%E3%83%BB%E3%80%81%E5%8F%B3L%E5%9E%8B-USB3A-CA20RL/dp/B00L18ZFEG/ref=sr_1_3?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=usb+L&qid=1608277091&s=computers&sr=1-3,1,575,575
電気部品,,btドングル,,1,amazon,,BUFFALO Bluetooth4.0 Class1対応 USBアダプター BSBT4D105BK,https://www.amazon.co.jp/BUFFALO-Bluetooth4-0-Class1%E5%AF%BE%E5%BF%9C-USB%E3%82%A2%E3%83%80%E3%83%97%E3%82%BF%E3%83%BC-BSBT4D105BK/dp/B07716SP6N/ref=sr_1_37?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=bt+%E3%83%89%E3%83%B3%E3%82%B0%E3%83%AB&qid=1608716819&sr=8-37,1,2299,2299
電気部品,,コントローラ,,1,amazon,,ワイヤレスコントローラー (DUALSHOCK 4) マグマ・レッド (CUH-ZCT2J11),https://www.amazon.co.jp/%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-DUALSHOCK-4-%E3%83%9E%E3%82%B0%E3%83%9E%E3%83%BB%E3%83%AC%E3%83%83%E3%83%89-CUH-ZCT2J11/dp/B01LRMLR9W/ref=sr_1_2?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=2T1PVUZA2UB8C&dchild=1&keywords=ps4+dualshock+4&qid=1608716936&sprefix=ps4+d%2Caps%2C255&sr=8-2,1,6480,6480
電気部品,,pro mini,,1,amazon,,HiLetgo ATMEGA328P 3.3V/8M Arduino PROミニ 互換性のある開発ボード改良版 (3.3V) (2個セット),https://www.amazon.co.jp/HiLetgo-ATMEGA328P-Arduino-PRO%E3%83%9F%E3%83%8B-%E4%BA%92%E6%8F%9B%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E9%96%8B%E7%99%BA%E3%83%9C%E3%83%BC%E3%83%89%E6%94%B9%E8%89%AF%E7%89%88/dp/B073PYLJDC/ref=sr_1_11?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=ESRPQ4RJHXJX&dchild=1&keywords=arduino+pro+mini&qid=1608717062&sprefix=arduino+pro%2Caps%2C243&sr=8-11,1,1030,1030
電気部品,,mini usb host,,1,amazon,,GAOHOU ミニUSBホストシールド2.0 ADK SLR開発ツール互換SPIインターフェイス,https://www.amazon.co.jp/GAOHOU-BU0295-%E3%83%9F%E3%83%8BUSB%E3%83%9B%E3%82%B9%E3%83%88%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%892-0-ADK-SLR%E9%96%8B%E7%99%BA%E3%83%84%E3%83%BC%E3%83%AB%E4%BA%92%E6%8F%9BSPI%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%95%E3%82%A7%E3%82%A4%E3%82%B9/dp/B074HTPK13/ref=sr_1_4?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=mini+usb+host&qid=1608717151&sr=8-4,1,998,998
電気部品,,緊急停止スイッチ,,1,misumi,AR30V0R-11R,φ30 非常停止用押しボタンスイッチ AR30形 (AR30V0R-11R),https://jp.misumi-ec.com/vona2/detail/222000260284/?HissuCode=AR30V0R-11R,2,1289,2578
電気部品,,モータドライバ,,1,yahoo,朱雀技研工房,Cytron 30A 5V-30V DCモータドライバ,https://store.shopping.yahoo.co.jp/suzakulab/cytron-md30c.html#,2,3947,7894
電気部品,,teensy3.6,,1,スイッチサイエンス,,Teensy 3.6,https://www.switch-science.com/catalog/2989/,1,4533,4533
電気部品,,imu,,1,スイッチサイエンス,,Adafruit BNO055搭載 9DoF 方位/慣性計測モジュール,https://www.switch-science.com/catalog/5511/,1,5489,5489
電気部品,,スイッチング電源,,1,秋月電子,,最大２Ａ ３～１６Ｖ降圧型スイッチングモジュールキット（ＭＰＭ８０使用）,https://akizukidenshi.com/catalog/g/gK-08572/,2,750,1500
